Rama de actividad CNAE 2009	Sexo	Unidad	Periodo	Total
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2017T1	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2016T4	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2016T3	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2016T2	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2016T1	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2015T4	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2015T3	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2015T2	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2015T1	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2014T4	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2014T3	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2014T2	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2014T1	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2013T4	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2013T3	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2013T2	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2013T1	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2012T4	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2012T3	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2012T2	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2012T1	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2011T4	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2011T3	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2011T2	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2011T1	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2010T4	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2010T3	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2010T2	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2010T1	0,1
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2009T4	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2009T3	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2009T2	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2009T1	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2008T4	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2008T3	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2008T2	0,2
26 Fabricación de productos informáticos, electrónicos y ópticos	Mujeres	Porcentaje	2008T1	0,2
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2021T4	78,9
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2021T3	82,5
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2021T2	73,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2021T1	73,5
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2020T4	68,5
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2020T3	71,7
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2020T2	73,6
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2020T1	74,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2019T4	73,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2019T3	71,9
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2019T2	66,9
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2019T1	64,6
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2018T4	67,8
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2018T3	76,0
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2018T2	75,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2018T1	72,0
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2017T4	77,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2017T3	72,7
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2017T2	69,7
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2017T1	69,6
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2016T4	65,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2016T3	66,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2016T2	70,0
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2016T1	65,2
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2015T4	66,2
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2015T3	62,5
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2015T2	66,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2015T1	64,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2014T4	62,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2014T3	65,7
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2014T2	63,2
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2014T1	69,1
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2013T4	79,2
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2013T3	72,8
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2013T2	70,2
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2013T1	75,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2012T4	71,7
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2012T3	68,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2012T2	68,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2012T1	62,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2011T4	70,9
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2011T3	67,8
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2011T2	73,8
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2011T1	73,9
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2010T4	81,1
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2010T3	80,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2010T2	75,6
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2010T1	76,0
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2009T4	81,7
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2009T3	77,9
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2009T2	78,5
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2009T1	90,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2008T4	92,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2008T3	100,1
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2008T2	103,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Valor absoluto	2008T1	96,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2021T4	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2021T3	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2021T2	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2021T1	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2020T4	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2020T3	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2020T2	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2020T1	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2019T4	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2019T3	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2019T2	0,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2019T1	0,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2018T4	0,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2018T3	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2018T2	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2018T1	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2017T4	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2017T3	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2017T2	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2017T1	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2016T4	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2016T3	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2016T2	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2016T1	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2015T4	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2015T3	0,3
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2015T2	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2015T1	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2014T4	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2014T3	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2014T2	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2014T1	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2013T4	0,5
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2013T3	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2013T2	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2013T1	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2012T4	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2012T3	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2012T2	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2012T1	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2011T4	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2011T3	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2011T2	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2011T1	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2010T4	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2010T3	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2010T2	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2010T1	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2009T4	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2009T3	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2009T2	0,4
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2009T1	0,5
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2008T4	0,5
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2008T3	0,5
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2008T2	0,5
27 Fabricación de material y equipo eléctrico	Ambos sexos	Porcentaje	2008T1	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2021T4	60,3
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2021T3	61,9
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2021T2	58,0
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2021T1	58,1
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2020T4	50,6
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2020T3	53,6
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2020T2	55,8
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2020T1	55,0
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2019T4	56,0
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2019T3	54,2
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2019T2	51,1
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2019T1	47,5
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2018T4	49,1
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2018T3	55,2
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2018T2	53,0
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2018T1	53,4
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2017T4	59,6
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2017T3	54,2
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2017T2	52,6
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2017T1	51,9
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2016T4	49,3
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2016T3	51,5
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2016T2	53,1
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2016T1	49,5
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2015T4	50,7
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2015T3	46,1
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2015T2	50,3
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2015T1	48,5
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2014T4	50,0
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2014T3	54,4
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2014T2	50,0
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2014T1	55,1
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2013T4	60,1
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2013T3	54,4
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2013T2	49,8
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2013T1	56,7
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2012T4	55,4
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2012T3	52,4
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2012T2	48,9
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2012T1	46,6
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2011T4	54,2
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2011T3	50,2
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2011T2	55,0
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2011T1	52,1
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2010T4	59,6
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2010T3	58,0
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2010T2	55,9
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2010T1	56,9
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2009T4	62,2
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2009T3	58,3
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2009T2	60,2
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2009T1	68,2
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2008T4	67,7
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2008T3	77,0
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2008T2	80,0
27 Fabricación de material y equipo eléctrico	Hombres	Valor absoluto	2008T1	70,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2021T4	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2021T3	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2021T2	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2021T1	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2020T4	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2020T3	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2020T2	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2020T1	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2019T4	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2019T3	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2019T2	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2019T1	0,4
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2018T4	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2018T3	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2018T2	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2018T1	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2017T4	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2017T3	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2017T2	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2017T1	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2016T4	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2016T3	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2016T2	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2016T1	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2015T4	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2015T3	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2015T2	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2015T1	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2014T4	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2014T3	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2014T2	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2014T1	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2013T4	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2013T3	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2013T2	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2013T1	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2012T4	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2012T3	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2012T2	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2012T1	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2011T4	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2011T3	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2011T2	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2011T1	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2010T4	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2010T3	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2010T2	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2010T1	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2009T4	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2009T3	0,5
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2009T2	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2009T1	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2008T4	0,6
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2008T3	0,7
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2008T2	0,7
27 Fabricación de material y equipo eléctrico	Hombres	Porcentaje	2008T1	0,6
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2021T4	18,6
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2021T3	20,6
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2021T2	15,3
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2021T1	15,4
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2020T4	17,9
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2020T3	18,1
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2020T2	17,8
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2020T1	19,5
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2019T4	17,5
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2019T3	17,7
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2019T2	15,8
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2019T1	17,1
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2018T4	18,7
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2018T3	20,8
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2018T2	22,3
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2018T1	18,6
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2017T4	17,7
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2017T3	18,5
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2017T2	17,1
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2017T1	17,7
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2016T4	16,1
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2016T3	14,8
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2016T2	16,9
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2016T1	15,8
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2015T4	15,4
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2015T3	16,4
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2015T2	16,1
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2015T1	16,0
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2014T4	12,3
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2014T3	11,3
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2014T2	13,2
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2014T1	13,9
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2013T4	19,1
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2013T3	18,4
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2013T2	20,4
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2013T1	18,6
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2012T4	16,3
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2012T3	15,9
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2012T2	19,4
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2012T1	15,7
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2011T4	16,6
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2011T3	17,6
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2011T2	18,9
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2011T1	21,8
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2010T4	21,5
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2010T3	22,4
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2010T2	19,7
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2010T1	19,1
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2009T4	19,5
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2009T3	19,6
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2009T2	18,4
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2009T1	22,1
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2008T4	24,6
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2008T3	23,2
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2008T2	23,3
27 Fabricación de material y equipo eléctrico	Mujeres	Valor absoluto	2008T1	25,7
27 Fabricación de material y equipo eléctrico	Mujeres	Porcentaje	2021T4	0,2
27 Fabricación de material y equipo eléctrico	Mujeres	Porcentaje	2021T3	0,2
27 Fabricación de material y equipo eléctrico	Mujeres	Porcentaje	2021T2	0,2
27 Fabricación de material y equipo eléctrico	Mujeres	Porcentaje	2021T1	0,2
27 Fabricación de material y equipo eléctrico	Mujeres	Porcentaje	2020T4	0,2
27 Fabricación de material y equipo eléctrico	Mujeres	Porcentaje	2020T3	0,2
27 Fabricación de material y equipo eléctrico	Mujeres	Porcentaje	2020T2	0,2
27 Fabricación de material y equipo eléctrico	Mujeres	Porcentaje	2020T1	0,2
27 Fabricación de material y equipo eléctrico	Mujeres	Porcentaje	2019T4	0,2
27 Fabricación de material y equipo eléctrico	Mujeres	Porcentaje	2019T3	0,2
